@RELATION newnewSVM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {data,meeting-120418,meeting-112918}

@DATA
0.097307,0.037781,3.079338,0.201185,0.223377,0.779075,0.008273,0.150621,-23.943943,2.022605,0.479056,0.509971,0.214051,0.246726,0.088762,0.127969,0.236293,0.076208,0.026644,0.035807,-0.076502,0.013549,0.003680,0.082672,0.005689,0.023080,0.004412,0.066714,0.001556,0.003892,0.017365,0.053488,0.003892,0.037601,0.044863,0.012598,0.154323,0.045922,0.024165,0.364450,0.005404,0.098548,0.988657,0.463475,0.393891,0.340864,0.261847,0.258280,0.249369,0.238445,0.236000,0.227170,0.231865,0.214227,0.206824,0.012653,0.003943,0.041433,0.006110,0.019010,0.004657,0.037620,0.002049,0.004122,0.014251,0.033264,0.004508,0.010380,data
0.029278,0.063543,3.084451,0.122571,0.185815,0.209529,0.011254,0.047179,-24.531462,2.484100,0.442305,0.321912,-0.119736,0.342859,0.075520,0.090591,0.028538,0.059692,0.028718,0.103598,-0.050930,0.004093,0.004829,0.030866,0.008672,0.051298,0.004816,0.125251,0.000501,0.001826,0.003973,0.063056,0.002460,0.049468,0.016399,0.030864,0.128421,0.026568,0.031330,0.143990,0.016281,0.033155,1.436891,0.455973,0.312378,0.243292,0.328462,0.227725,0.220292,0.190192,0.243668,0.250986,0.205970,0.157940,0.183926,0.006422,0.005860,0.022225,0.010382,0.026522,0.007276,0.075190,0.000576,0.003806,0.004349,0.040091,0.003242,0.016098,data
0.045949,0.002379,3.055752,0.124876,0.181702,0.294126,0.008160,0.063735,-29.218952,2.085776,0.091492,0.126176,-0.230741,0.377208,0.164136,-0.059633,-0.066058,-0.011721,-0.076675,-0.045427,0.014854,0.016904,0.004703,0.047237,0.011241,0.016136,0.011395,0.051951,0.004328,0.010574,0.024278,0.016506,0.005482,0.026290,0.029851,0.002953,0.208643,0.037294,0.033780,0.301376,0.004760,0.057062,1.962889,0.642175,0.727041,0.413240,0.424114,0.337810,0.294609,0.262590,0.260877,0.242771,0.212067,0.200268,0.194760,0.017347,0.006843,0.037534,0.012610,0.017794,0.014447,0.035996,0.007505,0.013672,0.020209,0.013703,0.006508,0.011748,meeting-120418
0.043502,0.002066,3.047555,0.131794,0.199213,0.276031,0.008005,0.054993,-29.282970,2.438412,0.294899,0.220922,-0.083714,0.254249,0.143358,-0.022524,-0.044313,-0.003796,-0.076383,0.000472,-0.032497,0.019720,0.004066,0.058160,0.011156,0.016046,0.009256,0.056964,0.004002,0.009778,0.029566,0.023873,0.005150,0.027933,0.028892,0.002482,0.173698,0.034881,0.032322,0.293268,0.004275,0.054508,1.813418,0.596382,0.662397,0.369848,0.407534,0.287578,0.265955,0.254007,0.225785,0.215378,0.204981,0.184803,0.178776,0.017909,0.006222,0.040352,0.013169,0.014286,0.011087,0.037094,0.007565,0.012968,0.022070,0.018379,0.006661,0.011164,meeting-120418
0.042824,0.001537,3.048725,0.128776,0.196484,0.254723,0.008087,0.052822,-29.761712,2.430700,0.240456,0.134306,-0.206129,0.290503,0.102164,0.018287,-0.049088,-0.045051,-0.064607,0.015915,-0.043633,0.018016,0.005954,0.055590,0.011134,0.016580,0.010782,0.056072,0.003914,0.011228,0.026949,0.024542,0.004427,0.027728,0.025753,0.002080,0.191311,0.032979,0.034092,0.251915,0.004217,0.050237,1.896695,0.572077,0.662257,0.433185,0.422133,0.295029,0.285128,0.258272,0.228507,0.211241,0.197726,0.192490,0.180615,0.016460,0.009058,0.039529,0.012836,0.014828,0.013035,0.039307,0.007112,0.014922,0.020924,0.018518,0.005550,0.011281,meeting-120418
0.042478,0.003069,3.023733,0.123832,0.188620,0.256474,0.008651,0.056416,-28.868141,2.314905,0.158674,0.082558,-0.339528,0.268407,0.152174,-0.000887,-0.092022,-0.042664,-0.044652,-0.013368,0.029119,0.016820,0.005455,0.049501,0.013584,0.017459,0.014502,0.057815,0.003072,0.009244,0.020883,0.019422,0.007213,0.027578,0.028604,0.003666,0.205031,0.035939,0.034595,0.291518,0.004510,0.054405,1.991517,0.649305,0.670488,0.426626,0.440700,0.299387,0.294978,0.257851,0.247327,0.227037,0.206267,0.207631,0.188697,0.017041,0.008362,0.036810,0.015590,0.016472,0.019221,0.043069,0.005064,0.011497,0.018207,0.016023,0.009502,0.012352,meeting-120418
0.042478,0.003069,3.023733,0.123832,0.188620,0.256474,0.008651,0.056416,-28.868141,2.314905,0.158674,0.082558,-0.339528,0.268407,0.152174,-0.000887,-0.092022,-0.042664,-0.044652,-0.013368,0.029119,0.016820,0.005455,0.049501,0.013584,0.017459,0.014502,0.057815,0.003072,0.009244,0.020883,0.019422,0.007213,0.027578,0.028604,0.003666,0.205031,0.035939,0.034595,0.291518,0.004510,0.054405,1.991517,0.649305,0.670488,0.426626,0.440700,0.299387,0.294978,0.257851,0.247327,0.227037,0.206267,0.207631,0.188697,0.017041,0.008362,0.036810,0.015590,0.016472,0.019221,0.043069,0.005064,0.011497,0.018207,0.016023,0.009502,0.012352,meeting-120418
0.048556,0.001912,3.057474,0.118639,0.168971,0.327164,0.008391,0.071938,-28.821726,2.135833,0.079839,-0.016712,-0.347724,0.319848,0.171712,-0.057641,-0.059794,-0.007001,-0.094231,-0.012602,-0.027079,0.018395,0.006921,0.038716,0.013641,0.016967,0.012823,0.037393,0.005474,0.013532,0.018453,0.017736,0.006619,0.022818,0.034601,0.002315,0.215870,0.039560,0.032718,0.339708,0.004822,0.064410,1.988190,0.665714,0.808057,0.441727,0.471940,0.346987,0.327336,0.289177,0.265904,0.252845,0.228786,0.218136,0.202145,0.018126,0.010489,0.033862,0.016313,0.018324,0.015711,0.031908,0.010115,0.016801,0.018005,0.015807,0.007867,0.011022,meeting-120418
0.048820,0.001913,3.057499,0.119990,0.171584,0.327649,0.008359,0.071952,-28.821384,2.135835,0.079833,-0.016712,-0.347720,0.319847,0.171711,-0.057642,-0.059790,-0.007005,-0.094232,-0.012600,-0.027078,0.018394,0.006921,0.038713,0.013641,0.016966,0.012822,0.037390,0.005474,0.013532,0.018452,0.017735,0.006619,0.022817,0.034597,0.002315,0.215854,0.039858,0.033428,0.339722,0.004805,0.064415,1.988189,0.665719,0.808054,0.441728,0.471943,0.346986,0.327336,0.289176,0.265904,0.252845,0.228786,0.218136,0.202142,0.018125,0.010488,0.033859,0.016313,0.018324,0.015711,0.031904,0.010115,0.016801,0.018003,0.015805,0.007867,0.011021,meeting-120418
0.042164,0.001350,3.038833,0.124127,0.187943,0.259745,0.008282,0.055060,-30.124701,2.355205,0.208901,0.150941,-0.214313,0.291205,0.128720,-0.008115,-0.061902,-0.032242,-0.058758,-0.006638,-0.010729,0.017689,0.005124,0.054463,0.011747,0.016597,0.011564,0.057424,0.003714,0.010108,0.025575,0.021827,0.005407,0.027982,0.027779,0.001747,0.197570,0.034484,0.032240,0.279551,0.004275,0.053165,1.939624,0.609208,0.667080,0.414302,0.422154,0.302754,0.283240,0.252517,0.237278,0.218073,0.206420,0.196303,0.186028,0.017044,0.007890,0.039621,0.013670,0.015874,0.014747,0.039812,0.006938,0.012895,0.020522,0.016802,0.006906,0.011636,meeting-120418
0.041439,0.000717,3.049197,0.122222,0.187747,0.245050,0.008661,0.054169,-31.236433,2.405483,0.135263,0.215001,-0.198481,0.303569,0.131234,-0.065732,-0.044781,-0.034683,-0.034975,0.020199,-0.011493,0.015362,0.004394,0.053315,0.011364,0.017533,0.011717,0.058632,0.004914,0.011239,0.027013,0.020387,0.004306,0.028051,0.027376,0.000893,0.189995,0.033529,0.031783,0.271818,0.004547,0.052331,1.883754,0.593944,0.667928,0.392167,0.424934,0.304199,0.279174,0.258799,0.242817,0.223665,0.206091,0.196205,0.186705,0.014720,0.006810,0.038685,0.013356,0.016088,0.014225,0.039658,0.009237,0.014755,0.021038,0.016114,0.005538,0.011204,meeting-120418
0.046755,0.000734,3.051706,0.127654,0.187910,0.289565,0.008519,0.061595,-31.080569,2.358127,0.183510,0.239696,-0.179335,0.309240,0.125867,-0.060723,-0.055978,-0.009715,-0.041758,0.014843,-0.007019,0.015280,0.003992,0.051899,0.011259,0.017783,0.011398,0.056511,0.004118,0.011520,0.027395,0.021110,0.004272,0.027362,0.032102,0.000994,0.183205,0.036077,0.030893,0.300070,0.004507,0.058344,1.883205,0.602464,0.693286,0.377819,0.420476,0.307488,0.276999,0.258823,0.231348,0.228635,0.206517,0.192101,0.183214,0.014624,0.006322,0.038378,0.013795,0.016893,0.014078,0.037933,0.007807,0.015068,0.021606,0.017008,0.005761,0.011077,meeting-120418
0.027821,0.001100,3.023588,0.109296,0.190178,0.153775,0.011011,0.032278,-30.456288,2.887585,0.348809,0.196097,-0.116177,0.261379,0.134074,0.087769,0.041334,0.058253,0.037361,0.059472,0.005408,0.010591,0.004169,0.055016,0.009343,0.024928,0.007535,0.114195,0.002022,0.005377,0.012020,0.026240,0.003956,0.038018,0.019473,0.001308,0.165653,0.027038,0.022954,0.193027,0.006145,0.035666,1.324309,0.481467,0.467012,0.336472,0.325835,0.250804,0.228167,0.214785,0.207261,0.182820,0.186786,0.172025,0.162015,0.011012,0.006304,0.035596,0.010657,0.019212,0.009815,0.056951,0.003445,0.007068,0.010712,0.020636,0.005634,0.013095,meeting-112918
0.027747,0.001926,3.018821,0.106117,0.188521,0.137533,0.011433,0.032273,-30.162954,2.963488,0.221267,0.170500,-0.137191,0.287396,0.148949,0.028360,-0.006661,0.085097,0.039674,0.089613,0.017712,0.010902,0.004308,0.053621,0.009895,0.029346,0.010419,0.096599,0.003125,0.006806,0.013017,0.028514,0.004813,0.034759,0.020083,0.002334,0.180325,0.027727,0.025343,0.191158,0.005847,0.034854,1.501532,0.497286,0.527905,0.344240,0.353599,0.265605,0.237958,0.231726,0.220426,0.196240,0.191976,0.179203,0.165811,0.011060,0.007223,0.037134,0.011377,0.022410,0.012987,0.053819,0.005818,0.008942,0.012077,0.022340,0.006810,0.012622,meeting-112918
0.029576,0.000520,3.006809,0.111984,0.192911,0.162412,0.010614,0.035397,-31.585068,2.842451,0.298300,0.254562,-0.076431,0.284326,0.151316,0.036229,0.026500,0.059883,0.064631,0.082150,0.022573,0.011184,0.003326,0.057841,0.009046,0.026151,0.007729,0.112144,0.002137,0.005040,0.011454,0.030636,0.003589,0.037860,0.021092,0.000664,0.172510,0.027789,0.022876,0.204981,0.005527,0.037707,1.365623,0.473028,0.475742,0.313154,0.330725,0.239267,0.227958,0.221271,0.211043,0.189551,0.186488,0.172179,0.157987,0.011176,0.005096,0.038975,0.009933,0.020136,0.009606,0.057312,0.003608,0.005668,0.010128,0.023581,0.004947,0.013312,meeting-112918
0.032379,0.000746,3.019285,0.111117,0.185603,0.189201,0.011027,0.041877,-31.156593,2.813915,0.282844,0.152929,-0.173598,0.267709,0.140304,0.002886,0.001411,0.089359,0.100960,0.088441,0.012807,0.011341,0.004296,0.053934,0.010182,0.025642,0.009124,0.097499,0.002951,0.007948,0.013600,0.027835,0.004165,0.035203,0.025408,0.000925,0.183929,0.030924,0.025176,0.241832,0.006015,0.046598,1.544484,0.518801,0.550148,0.338913,0.363309,0.262285,0.248143,0.229982,0.220741,0.198945,0.193645,0.182883,0.166003,0.012503,0.006849,0.039246,0.011847,0.020681,0.011865,0.056131,0.005010,0.009523,0.012245,0.022226,0.006257,0.013493,meeting-112918
0.030203,0.000969,3.004596,0.111770,0.189827,0.173972,0.010395,0.036447,-31.242519,2.839219,0.317063,0.174215,-0.100778,0.269435,0.117888,0.014514,-0.000679,0.080826,0.089884,0.090881,0.017973,0.010331,0.003752,0.056668,0.009958,0.026981,0.008694,0.103594,0.002804,0.007318,0.012920,0.030988,0.003791,0.036446,0.021972,0.001284,0.182666,0.028463,0.024110,0.215968,0.005212,0.039567,1.485347,0.509975,0.504512,0.335307,0.336951,0.251792,0.230850,0.219276,0.207755,0.191230,0.187033,0.177154,0.162393,0.010638,0.005787,0.039036,0.011164,0.021372,0.010828,0.056927,0.004718,0.008419,0.011291,0.023902,0.005531,0.013244,meeting-112918
